iy,id,it,imin,qn,qh,qe,qs,qf,U,RH,Tair,pres,rain,kdown,snow,ldown,fcld,Wuh,xsmd,lai,kdiff,Kdir,wdir
2017,271,23,0,-999.00,-999.00,-999.00,-999.00,-999.00,5,90,22.78,29.34,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.403,-999.00,-999.00,0,-999.00
2017,270,0,0,-999.00,-999.00,-999.00,-999.00,-999.00,0,100,21.67,29.24,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.413,-999.00,-999.00,0,-999.00
2017,270,1,0,-999.00,-999.00,-999.00,-999.00,-999.00,0,100,21.67,29.23,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.413,-999.00,-999.00,0,-999.00
2017,270,2,0,-999.00,-999.00,-999.00,-999.00,-999.00,0,100,21.67,29.23,0.04233333,-999.00,-999.00,-999.00,-999.00,-999.00,0.41,-999.00,-999.00,0,-999.00
2017,270,3,0,-999.00,-999.00,-999.00,-999.00,-999.00,3,100,22.22,29.22,0.04233333,-999.00,-999.00,-999.00,-999.00,-999.00,0.408,-999.00,-999.00,0,-999.00
2017,270,4,0,-999.00,-999.00,-999.00,-999.00,-999.00,3,96,22.78,29.24,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.407,-999.00,-999.00,0,-999.00
2017,270,5,0,-999.00,-999.00,-999.00,-999.00,-999.00,3,94,22.78,29.24,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.403,-999.00,-999.00,0,-999.00
2017,270,6,0,-999.00,-999.00,-999.00,-999.00,-999.00,0,96,22.78,29.25,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.405,-999.00,-999.00,0,-999.00
2017,270,7,0,-999.00,-999.00,-999.00,-999.00,-999.00,0,94,23.33,29.27,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.402,-999.00,-999.00,33,-999.00
2017,270,8,0,-999.00,-999.00,-999.00,-999.00,-999.00,3,89,25.00,29.28,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.403,-999.00,-999.00,110,-999.00
2017,270,9,0,-999.00,-999.00,-999.00,-999.00,-999.00,0,85,25.56,29.28,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.399,-999.00,-999.00,244,-999.00
2017,270,10,0,-999.00,-999.00,-999.00,-999.00,-999.00,0,79,26.67,29.28,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.4,-999.00,-999.00,350,-999.00
2017,270,11,0,-999.00,-999.00,-999.00,-999.00,-999.00,3,67,28.33,29.26,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.399,-999.00,-999.00,429,-999.00
2017,270,12,0,-999.00,-999.00,-999.00,-999.00,-999.00,3,65,28.33,29.26,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.402,-999.00,-999.00,420,-999.00
2017,270,13,0,-999.00,-999.00,-999.00,-999.00,-999.00,3,63,28.89,29.23,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.398,-999.00,-999.00,267,-999.00
2017,270,14,0,-999.00,-999.00,-999.00,-999.00,-999.00,3,63,28.89,29.22,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.395,-999.00,-999.00,229,-999.00
2017,270,15,0,-999.00,-999.00,-999.00,-999.00,-999.00,0,65,28.33,29.22,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.397,-999.00,-999.00,81,-999.00
2017,270,16,0,-999.00,-999.00,-999.00,-999.00,-999.00,0,72,27.78,29.22,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.392,-999.00,-999.00,35,-999.00
2017,270,17,0,-999.00,-999.00,-999.00,-999.00,-999.00,3,85,26.11,29.24,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.39,-999.00,-999.00,64,-999.00
2017,270,18,0,-999.00,-999.00,-999.00,-999.00,-999.00,6,88,25.00,29.26,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.394,-999.00,-999.00,0,-999.00
2017,270,19,0,-999.00,-999.00,-999.00,-999.00,-999.00,3,88,24.44,29.28,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.403,-999.00,-999.00,0,-999.00
2017,270,20,0,-999.00,-999.00,-999.00,-999.00,-999.00,5,91,23.33,29.3,0.02116667,-999.00,-999.00,-999.00,-999.00,-999.00,0.412,-999.00,-999.00,0,-999.00
2017,270,21,0,-999.00,-999.00,-999.00,-999.00,-999.00,7,94,23.33,29.3,0.02116667,-999.00,-999.00,-999.00,-999.00,-999.00,0.421,-999.00,-999.00,0,-999.00
2017,270,22,0,-999.00,-999.00,-999.00,-999.00,-999.00,6,94,22.78,29.3,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.431,-999.00,-999.00,0,-999.00
2017,270,23,0,-999.00,-999.00,-999.00,-999.00,-999.00,7,90,22.78,29.29,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.433,-999.00,-999.00,0,-999.00
2017,269,0,0,-999.00,-999.00,-999.00,-999.00,-999.00,6,83,25.00,29.17,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.147,-999.00,-999.00,0,-999.00
2017,269,1,0,-999.00,-999.00,-999.00,-999.00,-999.00,3,82,25.00,29.17,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.145,-999.00,-999.00,0,-999.00
2017,269,2,0,-999.00,-999.00,-999.00,-999.00,-999.00,3,88,24.44,29.19,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.147,-999.00,-999.00,0,-999.00
2017,269,3,0,-999.00,-999.00,-999.00,-999.00,-999.00,5,89,23.89,29.18,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.146,-999.00,-999.00,0,-999.00
2017,269,4,0,-999.00,-999.00,-999.00,-999.00,-999.00,0,90,23.89,29.16,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.144,-999.00,-999.00,0,-999.00
2017,269,5,0,-999.00,-999.00,-999.00,-999.00,-999.00,6,90,23.89,29.17,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.146,-999.00,-999.00,0,-999.00
2017,269,6,0,-999.00,-999.00,-999.00,-999.00,-999.00,7,90,23.89,29.18,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.214,-999.00,-999.00,0,-999.00
2017,269,7,0,-999.00,-999.00,-999.00,-999.00,-999.00,3,88,24.44,29.2,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.216,-999.00,-999.00,6,-999.00
2017,269,8,0,-999.00,-999.00,-999.00,-999.00,-999.00,5,88,25.00,29.21,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.213,-999.00,-999.00,82,-999.00
2017,269,9,0,-999.00,-999.00,-999.00,-999.00,-999.00,5,85,25.56,29.22,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.211,-999.00,-999.00,183,-999.00
2017,269,10,0,-999.00,-999.00,-999.00,-999.00,-999.00,6,79,27.22,29.22,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.21,-999.00,-999.00,138,-999.00
2017,269,11,0,-999.00,-999.00,-999.00,-999.00,-999.00,3,74,27.22,29.22,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.212,-999.00,-999.00,240,-999.00
2017,269,12,0,-999.00,-999.00,-999.00,-999.00,-999.00,8,74,27.22,29.21,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.211,-999.00,-999.00,36,-999.00
2017,269,13,0,-999.00,-999.00,-999.00,-999.00,-999.00,6,89,23.89,29.21,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.251,-999.00,-999.00,38,-999.00
2017,269,14,0,-999.00,-999.00,-999.00,-999.00,-999.00,5,94,23.33,29.19,0.08466667,-999.00,-999.00,-999.00,-999.00,-999.00,0.336,-999.00,-999.00,121,-999.00
2017,269,15,0,-999.00,-999.00,-999.00,-999.00,-999.00,0,94,24.44,29.17,0.04233333,-999.00,-999.00,-999.00,-999.00,-999.00,0.39,-999.00,-999.00,92,-999.00
2017,269,16,0,-999.00,-999.00,-999.00,-999.00,-999.00,0,94,22.78,29.19,0.40216667,-999.00,-999.00,-999.00,-999.00,-999.00,0.394,-999.00,-999.00,47,-999.00
2017,269,17,0,-999.00,-999.00,-999.00,-999.00,-999.00,5,96,22.78,29.18,0.16933333,-999.00,-999.00,-999.00,-999.00,-999.00,0.423,-999.00,-999.00,20,-999.00
2017,269,18,0,-999.00,-999.00,-999.00,-999.00,-999.00,0,96,22.78,29.2,0.3175,-999.00,-999.00,-999.00,-999.00,-999.00,0.417,-999.00,-999.00,0,-999.00
2017,269,19,0,-999.00,-999.00,-999.00,-999.00,-999.00,3,94,22.78,29.22,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.43,-999.00,-999.00,0,-999.00
2017,269,20,0,-999.00,-999.00,-999.00,-999.00,-999.00,3,97,22.22,29.22,0.02116667,-999.00,-999.00,-999.00,-999.00,-999.00,0.419,-999.00,-999.00,0,-999.00
2017,269,21,0,-999.00,-999.00,-999.00,-999.00,-999.00,0,100,22.22,29.23,0.02116667,-999.00,-999.00,-999.00,-999.00,-999.00,0.44,-999.00,-999.00,0,-999.00
2017,269,22,0,-999.00,-999.00,-999.00,-999.00,-999.00,0,100,21.67,29.23,0.02116667,-999.00,-999.00,-999.00,-999.00,-999.00,0.425,-999.00,-999.00,0,-999.00
2017,269,23,0,-999.00,-999.00,-999.00,-999.00,-999.00,0,100,22.22,29.24,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.418,-999.00,-999.00,0,-999.00
2017,268,0,0,-999.00,-999.00,-999.00,-999.00,-999.00,5,82,24.44,29.19,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.146,-999.00,-999.00,0,-999.00
2017,268,1,0,-999.00,-999.00,-999.00,-999.00,-999.00,3,88,23.89,29.18,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.147,-999.00,-999.00,0,-999.00
2017,268,2,0,-999.00,-999.00,-999.00,-999.00,-999.00,3,88,23.89,29.17,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.148,-999.00,-999.00,0,-999.00
2017,268,3,0,-999.00,-999.00,-999.00,-999.00,-999.00,0,91,23.33,29.17,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.144,-999.00,-999.00,0,-999.00
2017,268,4,0,-999.00,-999.00,-999.00,-999.00,-999.00,0,94,23.33,29.17,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.145,-999.00,-999.00,0,-999.00
2017,268,5,0,-999.00,-999.00,-999.00,-999.00,-999.00,0,94,23.33,29.17,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.145,-999.00,-999.00,0,-999.00
2017,268,6,0,-999.00,-999.00,-999.00,-999.00,-999.00,5,94,23.33,29.18,0,-999.00,-999.00,-999.00,-999.00,-999.00,0.145,-999.00,-999.00,0,-999.00
